款号,订货会,品牌,品名,流水号,颜色,尺码,大类,中类,小类,季节,波段,等级,色系,价格带,吊牌价,描述
15120910,1,OCT,网布拼银针织背心,1219,163灰色,XL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1500-2000,1680,主：100%锦纶含银离子 配：100%涤纶
15120911,1,OCT,领口系带针织吊带,1220,163灰色,M,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1000-1499,1280,
15120911,1,OCT,领口系带针织吊带,1220,163灰色,L,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1000-1499,1280,
15120911,1,OCT,领口系带针织吊带,1220,163灰色,XL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,1000-1499,1280,
4550101,1,OCT,金属丝背带款防辐射,1221,14中灰,M,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,500-999,680,37.4%棉 36.3%聚酯纤维 26.3%金属纤维（辅料除外)
4550101,1,OCT,金属丝背带款防辐射,1221,14中灰,L,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,500-999,680,37.4%棉 36.3%聚酯纤维 26.3%金属纤维（辅料除外)
4550101,1,OCT,金属丝背带款防辐射,1221,14中灰,XL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,500-999,680,37.4%棉 36.3%聚酯纤维 26.3%金属纤维（辅料除外)
4550101,1,OCT,金属丝背带款防辐射,1221,14中灰,XXL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,黑色系,500-999,680,37.4%棉 36.3%聚酯纤维 26.3%金属纤维（辅料除外)
4550101,1,OCT,金属丝背带款防辐射,1222,77深藏青,M,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,蓝色系,500-999,680,37.4%棉 36.3%聚酯纤维 26.3%金属纤维（辅料除外)
4550101,1,OCT,金属丝背带款防辐射,1222,77深藏青,L,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,蓝色系,500-999,680,37.4%棉 36.3%聚酯纤维 26.3%金属纤维（辅料除外)
4550101,1,OCT,金属丝背带款防辐射,1222,77深藏青,XL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,蓝色系,500-999,680,37.4%棉 36.3%聚酯纤维 26.3%金属纤维（辅料除外)
4550101,1,OCT,金属丝背带款防辐射,1222,77深藏青,XXL,防辐射,防辐射服装系列,上衣,秋,秋一,主力款,蓝色系,500-999,680,37.4%棉 36.3%聚酯纤维 26.3%金属纤维（辅料除外)
